preseason_temp_anomaly,chilling_anomaly,interaction,pred,lower,upper
-2.5953249424414175,-2,5.190649884882835,11.26783159162223,5.624750169648951,16.36543693232572
-2.549722141598809,-2,5.099444283197618,11.10333431319184,5.554209741453593,16.113059214764675
-2.504119340756201,-2,5.008238681512402,10.936451060367633,5.4850775122025865,15.86068149720363
-2.4585165399135924,-2,4.917033079827185,10.768458232991897,5.418677454703372,15.605651357025707
-2.412913739070984,-2,4.825827478141968,10.602480786136399,5.34626255437549,15.356077090034034
-2.3673109382283757,-2,4.734621876456751,10.435154966362113,5.278541362430931,15.105309111188733
-2.3217081373857673,-2,4.643416274771535,10.266362363912581,5.205231966725572,14.853673609632748
-2.276105336543159,-2,4.552210673086318,10.10110297883669,5.128337157126184,14.604131225483709
-2.2305025357005506,-2,4.461005071401101,9.933160886859383,5.063078081439939,14.347389147819442
-2.184899734857942,-2,4.369799469715884,9.761060097418447,4.998333129242485,14.095223133031084
-2.1392969340153343,-2,4.2785938680306685,9.590190806692938,4.9410488590793245,13.842897819849112
-2.0936941331727255,-2,4.187388266345451,9.422865421784993,4.87359869268188,13.594229001890982
-2.0480913323301175,-2,4.096182664660235,9.261294959652087,4.799144409323743,13.338247193485165
-2.0024885314875087,-2,4.004977062975017,9.09535550105428,4.732364091973918,13.088058249782712
-1.9568857306449008,-2,3.9137714612898016,8.928137633830861,4.67088564783698,12.833735466417941
-1.9112829298022924,-2,3.822565859604585,8.764342680608753,4.595847460664601,12.58072921232918
-1.865680128959684,-2,3.731360257919368,8.59771474011584,4.529791992772021,12.32931885335456
-1.8200773281170757,-2,3.6401546562341514,8.430773496400988,4.456370163297207,12.076895100831326
-1.7744745272744673,-2,3.5489490545489346,8.260839045525675,4.39072191515539,11.82468704559847
-1.728871726431859,-2,3.457743452863718,8.091753445255687,4.3242066916865385,11.580686298102977
-1.6832689255892506,-2,3.366537851178501,7.924325291254716,4.2587276114205315,11.320303069142863
-1.6376661247466422,-2,3.2753322494932844,7.7579169245408135,4.193818198746259,11.075249371357692
-1.5920633239040338,-2,3.1841266478080676,7.591623827199324,4.132753123045164,10.82880363802287
-1.5464605230614255,-2,3.092921046122851,7.427467471177094,4.064457923321241,10.588050998092859
-1.500857722218817,-2,3.001715444437634,7.2647143080848195,3.996604829075422,10.350798691959822
-1.4552549213762087,-2,2.9105098427524174,7.100838588854211,3.9224794463399233,10.101280088272759
-1.4096521205336003,-2,2.8193042410672007,6.932695797886916,3.843091968110727,9.854498883128693
-1.3640493196909922,-2,2.7280986393819844,6.766845194875238,3.7761984305647167,9.600692580291554
-1.3184465188483838,-2,2.6368930376967676,6.605583673373292,3.7001207585604274,9.3455446312247
-1.2728437180057754,-2,2.545687436011551,6.441362923807718,3.6242482426854288,9.097890588848415
-1.227240917163167,-2,2.454481834326334,6.27557323424406,3.548371904771471,8.854224806063023
-1.1816381163205587,-2,2.3632762326411174,6.108784493308706,3.4710593612661285,8.609205930885468
-1.1360353154779503,-2,2.2720706309559007,5.942132574345307,3.3957228384661207,8.363739646600074
-1.090432514635342,-2,2.180865029270684,5.771692398514135,3.329671343777013,8.119179804048162
-1.0448297137927336,-2,2.089659427585467,5.606438397964816,3.2539825518492953,7.872554479768802
-0.9992269129501252,-2,1.9984538259002504,5.4418932904047965,3.186714932257764,7.628191395003733
-0.9536241121075169,-2,1.9072482242150337,5.274680945687003,3.1133335264063797,7.382598288288335
-0.9080213112649085,-2,1.816042622529817,5.108055448903977,3.034569862096133,7.141849837351352
